Source.colony,Expt.colony,Indv.ID,Weeks.since,Trt,Obs,Pre.Mass,Mass.change,Percent.mass.change,Pre.boldness,Post.boldness,Post.within.var
UPP-A8,UPP-A8_3_control,C_127,3,Control,4,0.1005,-0.01,-0.099502488,600,403.53,9274.82735
UPP-A8,UPP-A8_3_control,C_127,3,Control,5,0.1005,-0.01,-0.099502488,600,371.1,9274.82735
KAL-1,KAL-1_1,M_1_1,1,Mixed,1,0.1109,-0.011,-0.099188458,57.1,155.21,955.00377
KAL-1,KAL-1_1,M_1_1,1,Mixed,2,0.1109,-0.011,-0.099188458,600,103.91,955.00377
KAL-1,KAL-1_1,M_1_1,1,Mixed,3,0.1109,-0.011,-0.099188458,117.94,199.53,955.00377
KAL-1,KAL-1_1,M_1_1,1,Mixed,4,0.1109,-0.011,-0.099188458,204.6,103.91,955.00377
KAL-1,KAL-1_1,M_1_1,1,Mixed,5,0.1109,-0.011,-0.099188458,194.06,170.6,955.00377
KAL-1,KAL-1_1,M_1_2,1,Mixed,1,0.0908,-0.009,-0.099118943,600,188.42,2956.75047
KAL-1,KAL-1_1,M_1_2,1,Mixed,2,0.0908,-0.009,-0.099118943,210.28,69.47,2956.75047
KAL-1,KAL-1_1,M_1_2,1,Mixed,3,0.0908,-0.009,-0.099118943,289.76,600,2956.75047
KAL-1,KAL-1_1,M_1_2,1,Mixed,4,0.0908,-0.009,-0.099118943,32.88,69.47,2956.75047
KAL-1,KAL-1_1,M_1_2,1,Mixed,5,0.0908,-0.009,-0.099118943,40.78,54.78,2956.75047
UPP-A8,UPP-A8_3_control,C_122,3,Control,1,0.0812,-0.008,-0.098522167,153.19,16.21,8218.30027
UPP-A8,UPP-A8_3_control,C_122,3,Control,2,0.0812,-0.008,-0.098522167,220.18,184.98,8218.30027
UPP-A8,UPP-A8_3_control,C_122,3,Control,3,0.0812,-0.008,-0.098522167,77.56,12.45,8218.30027
UPP-A8,UPP-A8_3_control,C_122,3,Control,4,0.0812,-0.008,-0.098522167,313.32,65.06,8218.30027
UPP-A8,UPP-A8_3_control,C_122,3,Control,5,0.0812,-0.008,-0.098522167,98.53,199.21,8218.30027
UPP-A8,UPP-A8_2_control,C_82,2,Control,1,0.0617,-0.006,-0.097244733,203.47,206.28,7483.91928
UPP-A8,UPP-A8_2_control,C_82,2,Control,2,0.0617,-0.006,-0.097244733,46.35,199.38,7483.91928
UPP-A8,UPP-A8_2_control,C_82,2,Control,3,0.0617,-0.006,-0.097244733,334,355.12,7483.91928
UPP-A8,UPP-A8_2_control,C_82,2,Control,4,0.0617,-0.006,-0.097244733,600,114.79,7483.91928
UPP-A8,UPP-A8_2_control,C_82,2,Control,5,0.0617,-0.006,-0.097244733,600,219.76,7483.91928
KAL-AA1,KAL-AA1_1,M_1_6,1,Mixed,1,0.144,-0.014,-0.097222222,600,139.45,2450.61517
KAL-AA1,KAL-AA1_1,M_1_6,1,Mixed,2,0.144,-0.014,-0.097222222,149.22,121,2450.61517
KAL-AA1,KAL-AA1_1,M_1_6,1,Mixed,3,0.144,-0.014,-0.097222222,129.36,429.13,2450.61517
KAL-AA1,KAL-AA1_1,M_1_6,1,Mixed,4,0.144,-0.014,-0.097222222,184.98,44,2450.61517
KAL-AA1,KAL-AA1_1,M_1_6,1,Mixed,5,0.144,-0.014,-0.097222222,124.78,24.56,2450.61517
UPP-A7,UPP-A7_1,M_1_29,1,Mixed,1,0.0618,-0.006,-0.097087379,347.31,108.13,40578.80252
UPP-A7,UPP-A7_1,M_1_29,1,Mixed,2,0.0618,-0.006,-0.097087379,252.85,210.53,40578.80252
UPP-A7,UPP-A7_1,M_1_29,1,Mixed,3,0.0618,-0.006,-0.097087379,230.75,569.47,40578.80252
UPP-A7,UPP-A7_1,M_1_29,1,Mixed,4,0.0618,-0.006,-0.097087379,241.69,184.98,40578.80252
UPP-A7,UPP-A7_1,M_1_29,1,Mixed,5,0.0618,-0.006,-0.097087379,489.19,114.28,40578.80252
KAL-1,KAL-1_1,M_1_4,1,Mixed,1,0.0722,-0.007,-0.096952909,327.44,289.76,57955.60418
KAL-1,KAL-1_1,M_1_4,1,Mixed,2,0.0722,-0.007,-0.096952909,600,32.88,57955.60418
KAL-1,KAL-1_1,M_1_4,1,Mixed,3,0.0722,-0.007,-0.096952909,600,600,57955.60418
KAL-1,KAL-1_1,M_1_4,1,Mixed,4,0.0722,-0.007,-0.096952909,355.57,32.88,57955.60418
KAL-1,KAL-1_1,M_1_4,1,Mixed,5,0.0722,-0.007,-0.096952909,600,106.81,57955.60418
UPP-A10,UPP-A10_2_control,C_72,2,Control,1,0.0827,-0.008,-0.096735187,409.12,600,6331.60688
UPP-A10,UPP-A10_2_control,C_72,2,Control,2,0.0827,-0.008,-0.096735187,176.06,600,6331.60688
UPP-A10,UPP-A10_2_control,C_72,2,Control,3,0.0827,-0.008,-0.096735187,276.03,514.5,6331.60688
UPP-A10,UPP-A10_2_control,C_72,2,Control,4,0.0827,-0.008,-0.096735187,554.88,421.13,6331.60688
UPP-A10,UPP-A10_2_control,C_72,2,Control,5,0.0827,-0.008,-0.096735187,600,600,6331.60688
KAL-B3,KAL-B3_4_control,C_147,4,Control,1,0.083,-0.008,-0.096385542,72.22,265.45,5751.55732
KAL-B3,KAL-B3_4_control,C_147,4,Control,2,0.083,-0.008,-0.096385542,46.05,199.52,5751.55732
KAL-B3,KAL-B3_4_control,C_147,4,Control,3,0.083,-0.008,-0.096385542,297.06,99.45,5751.55732
KAL-B3,KAL-B3_4_control,C_147,4,Control,4,0.083,-0.008,-0.096385542,600,114.79,5751.55732
KAL-B3,KAL-B3_4_control,C_147,4,Control,5,0.083,-0.008,-0.096385542,172.37,248.85,5751.55732
KAL-1,KAL-1_3,M_3_1,3,Mixed,1,0.1246,-0.012,-0.096308186,49.75,37.23,368.13077
KAL-1,KAL-1_3,M_3_1,3,Mixed,2,0.1246,-0.012,-0.096308186,41.06,17.21,368.13077
KAL-1,KAL-1_3,M_3_1,3,Mixed,3,0.1246,-0.012,-0.096308186,97.72,51.42,368.13077
KAL-1,KAL-1_3,M_3_1,3,Mixed,4,0.1246,-0.012,-0.096308186,46.35,60.84,368.13077
KAL-1,KAL-1_3,M_3_1,3,Mixed,5,0.1246,-0.012,-0.096308186,334,19.54,368.13077
UPP-B77,UPP-B77_2_control,C_87,2,Control,1,0.0624,-0.006,-0.096153846,335.56,51.64,19006.50793
UPP-B77,UPP-B77_2_control,C_87,2,Control,2,0.0624,-0.006,-0.096153846,115.66,13.21,19006.50793
UPP-B77,UPP-B77_2_control,C_87,2,Control,3,0.0624,-0.006,-0.096153846,199.44,86.69,19006.50793
UPP-B77,UPP-B77_2_control,C_87,2,Control,4,0.0624,-0.006,-0.096153846,230.75,12.66,19006.50793
UPP-B77,UPP-B77_2_control,C_87,2,Control,5,0.0624,-0.006,-0.096153846,241.69,341.57,19006.50793
UPP-A8,UPP-A8_1,M_1_33,1,Mixed,1,0.136,-0.013,-0.095588235,150.82,276.03,25.9384
UPP-A8,UPP-A8_1,M_1_33,1,Mixed,2,0.136,-0.013,-0.095588235,120.25,600,25.9384
UPP-A8,UPP-A8_1,M_1_33,1,Mixed,3,0.136,-0.013,-0.095588235,357.55,526.31,25.9384
UPP-A8,UPP-A8_1,M_1_33,1,Mixed,4,0.136,-0.013,-0.095588235,23,9.05,25.9384
UPP-A8,UPP-A8_1,M_1_33,1,Mixed,5,0.136,-0.013,-0.095588235,62.44,600,25.9384
KAL-B3,KAL-B3_3_control,C_105,3,Control,1,0.0734,-0.007,-0.095367847,600,600,0
KAL-B3,KAL-B3_3_control,C_105,3,Control,2,0.0734,-0.007,-0.095367847,600,600,0
KAL-B3,KAL-B3_3_control,C_105,3,Control,3,0.0734,-0.007,-0.095367847,600,600,0
KAL-B3,KAL-B3_3_control,C_105,3,Control,4,0.0734,-0.007,-0.095367847,600,600,0
KAL-B3,KAL-B3_3_control,C_105,3,Control,5,0.0734,-0.007,-0.095367847,600,600,0
KAL-B3,KAL-B3_3,M_3_14,3,Mixed,1,0.0634,-0.006,-0.094637224,600,577.21,2103.42278
KAL-B3,KAL-B3_3,M_3_14,3,Mixed,2,0.0634,-0.006,-0.094637224,173.34,480.31,2103.42278
KAL-B3,KAL-B3_3,M_3_14,3,Mixed,3,0.0634,-0.006,-0.094637224,600,543.58,2103.42278
KAL-B3,KAL-B3_3,M_3_14,3,Mixed,4,0.0634,-0.006,-0.094637224,600,465.91,2103.42278
KAL-B3,KAL-B3_3,M_3_14,3,Mixed,5,0.0634,-0.006,-0.094637224,600,504.21,2103.42278
KAL-1,KAL-1_1_control,C_6,1,Control,1,0.0741,-0.007,-0.094466937,600,600,2068.17122
KAL-1,KAL-1_1_control,C_6,1,Control,2,0.0741,-0.007,-0.094466937,600,600,2068.17122
KAL-1,KAL-1_1_control,C_6,1,Control,3,0.0741,-0.007,-0.094466937,600,600,2068.17122
KAL-1,KAL-1_1_control,C_6,1,Control,4,0.0741,-0.007,-0.094466937,600,600,2068.17122
KAL-1,KAL-1_1_control,C_6,1,Control,5,0.0741,-0.007,-0.094466937,600,498.31,2068.17122
N10-C3,N10-C3_1,M_1_16,1,Mixed,1,0.1378,-0.013,-0.094339623,35.72,600,1145.47357
N10-C3,N10-C3_1,M_1_16,1,Mixed,2,0.1378,-0.013,-0.094339623,137.59,600,1145.47357
N10-C3,N10-C3_1,M_1_16,1,Mixed,3,0.1378,-0.013,-0.094339623,100.26,405.88,1145.47357
N10-C3,N10-C3_1,M_1_16,1,Mixed,4,0.1378,-0.013,-0.094339623,48.85,43.26,1145.47357
N10-C3,N10-C3_1,M_1_16,1,Mixed,5,0.1378,-0.013,-0.094339623,143.57,26.84,1145.47357
KAL-B3,KAL-B3_1,M_1_11,1,Mixed,1,0.0638,-0.006,-0.094043887,144.22,600,0
